16:35:17.109 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:17.669 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:18.269 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:18.869 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:19.429 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:20.029 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:20.629 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:21.229 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:21.789 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:22.389 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:22.989 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:23.589 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:24.149 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:24.749 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:25.349 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:25.949 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:26.549 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:27.109 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:27.709 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:28.309 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:28.909 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:29.469 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:30.069 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:30.669 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:31.229 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:31.829 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:32.429 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:33.029 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:33.589 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:34.189 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:34.789 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:35.389 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:35.949 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:36.549 -> Temperature: 41.50⸮C  |  106.70⸮F
16:35:37.149 -> Temperature: 41.50⸮C  |  106.70⸮F
